Name;Lat;Lon;Url
CAN_BC_Qualicum.Beach.AP.717660_TMYx.2004-2018.zip;49.34;-124.39;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Qualicum.Beach.AP.717660_TMYx.2004-2018.zip
DZA_AT_Beni.Saf.605180_TMYx.zip;35.30;-1.35;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AT_Ain_Temouchent/DZA_AT_Beni.Saf.605180_TMYx.zip
CAN_BC_White.Rock.717850_TDY-CWEC2020v2.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_TDY-CWEC2020v2.zip
DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2004-2018.zip;36.07;4.67;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BB_Bordj_Bou_Arreridj/DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2004-2018.zip
CAN_BC_Fort.St.John.AP.719430_CWEC2020.zip;56.24;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John.AP.719430_CWEC2020.zip
DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2007-2021.zip;36.07;4.67;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BB_Bordj_Bou_Arreridj/DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2007-2021.zip
CAN_BC_Qualicum.Beach.AP.717660_TMYx.2007-2021.zip;49.34;-124.39;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Qualicum.Beach.AP.717660_TMYx.2007-2021.zip
DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.zip;36.07;4.67;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BB_Bordj_Bou_Arreridj/DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.zip
CAN_BC_White.Rock.717850_TMYx.2004-2018.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_TMYx.2004-2018.zip
DZA_BC_Bechar.AP.605710_TMYx.2004-2018.zip;31.65;-2.27;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Bechar.AP.605710_TMYx.2004-2018.zip
CAN_BC_Golden.AP.710354_TMYx.2007-2021.zip;51.30;-116.98;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Golden.AP.710354_TMYx.2007-2021.zip
DZA_BC_Beni.Abbes.606020_TMYx.2004-2018.zip;30.13;-2.17;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606020_TMYx.2004-2018.zip
CAN_BC_Qualicum.Beach.AP.717660_TMYx.zip;49.34;-124.39;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Qualicum.Beach.AP.717660_TMYx.zip
DZA_BC_Columb.Bechar.Missile.Test.Center.605700_TMYx.zip;31.62;-1.78;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Columb.Bechar.Missile.Test.Center.605700_TMYx.zip
CAN_BC_White.Rock.717850_TMYx.2007-2021.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_TMYx.2007-2021.zip
DZA_BC_Bechar.AP.605710_TMYx.2007-2021.zip;31.65;-2.27;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Bechar.AP.605710_TMYx.2007-2021.zip
CAN_BC_Golden.AP.710354_TMYx.zip;51.30;-116.98;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Golden.AP.710354_TMYx.zip
DZA_BC_Beni.Abbes.606020_TMYx.2007-2021.zip;30.13;-2.17;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606020_TMYx.2007-2021.zip
CAN_BC_Quesnel.711920_CWEC2020.zip;53.03;-122.51;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_CWEC2020.zip
DZA_BC_Tabelbala.606050_TMYx.2007-2021.zip;29.42;-3.25;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Tabelbala.606050_TMYx.2007-2021.zip
CAN_BC_White.Rock.717850_TMYx.zip;49.02;-122.78;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_White.Rock.717850_TMYx.zip
DZA_BC_Bechar.AP.605710_TMYx.zip;31.65;-2.27;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Bechar.AP.605710_TMYx.zip
CAN_BC_Grey.Islet.714760_CWEC2016.zip;54.58;-130.7;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Grey.Islet.714760_CWEC2016.zip
DZA_BC_Beni.Abbes.606020_TMYx.zip;30.13;-2.17;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BC_Bechar/DZA_BC_Beni.Abbes.606020_TMYx.zip
CAN_BC_Quesnel.711920_CWEC2020v2.zip;53.03;-122.51;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Quesnel.711920_CWEC2020v2.zip
